"","row","aov_coefs"
"(Intercept)",14903,-0.536098561667197
"exp_env_factorE_2",14903,0.943575012774446
"exp_env_factorE_3",14903,-0.0519450400701556
"exp_env_factorE_4",14903,-0.212042104841713
"exp_env_factorE_5",14903,1.22987050838152
"gen_factorG_2",14903,0.27753993356213
"gen_factorG_3",14903,-0.271873392229918
"gen_factorG_4",14903,-0.350288489942907
"gen_factorG_5",14903,1.20423427810854
"exp_env_factorE_2:gen_factorG_2",14903,-1.82318268526038
"exp_env_factorE_3:gen_factorG_2",14903,-0.398543181358061
"exp_env_factorE_4:gen_factorG_2",14903,1.07282331848886
"exp_env_factorE_5:gen_factorG_2",14903,-1.21219806391016
"exp_env_factorE_2:gen_factorG_3",14903,-0.189178396088398
"exp_env_factorE_3:gen_factorG_3",14903,-0.333288979363332
"exp_env_factorE_4:gen_factorG_3",14903,0.505730199853835
"exp_env_factorE_5:gen_factorG_3",14903,-0.525786727876239
"exp_env_factorE_2:gen_factorG_4",14903,-1.01839121347382
"exp_env_factorE_3:gen_factorG_4",14903,1.45611425798405
"exp_env_factorE_4:gen_factorG_4",14903,2.70794432348287
"exp_env_factorE_5:gen_factorG_4",14903,0.117277743139077
"exp_env_factorE_2:gen_factorG_5",14903,-0.448618795608481
"exp_env_factorE_3:gen_factorG_5",14903,-0.46831150746523
"exp_env_factorE_4:gen_factorG_5",14903,0.990410873478401
"exp_env_factorE_5:gen_factorG_5",14903,-0.875690653052763
