"STUDY_ID","REVIEWERS","INCLUDE","authors","title","journal","type","year","volume","issue","page_start","page_end","doi","category"
2,"Sub12","not vetted","Polonik, P; Chan, WS; Billesbach, DP; Burba, G; Li, J; Nottrott, A; Bogoev, I; Conrad, B; Biraud, SC","Comparison of gas analyzers for eddy covariance: Effects of analyzer type and spectral corrections on fluxes","AGRICULTURAL AND FOREST METEOROLOGY","Article",2019,"272","","128","142","10.1016/j.agrformet.2019.02.010","Agronomy; Forestry; Meteorology & Atmospheric Sciences"
37,"Sub12","not vetted","Lubna; Asaf, S; Khan, AL; Waqas, M; Kang, SM; Hamayun, M; Lee, IJ; Hussain, A","Growth-promoting bioactivities of Bipolaris sp. CSL-1 isolated from Cannabis sativa suggest a distinctive role in modifying host plant phenotypic plasticity and functions","ACTA PHYSIOLOGIAE PLANTARUM","Article",2019,"41","5","","","10.1007/s11738-019-2852-7","Plant Sciences"
48,"Sub12","not vetted","Rong, MD; Zheng, XY; Ye, MX; Bai, J; Xie, XM; Jin, Y; He, XQ","Phenotypic Plasticity of Staphylococcus aureus in Liquid Medium Containing Vancomycin","FRONTIERS IN MICROBIOLOGY","Article",2019,"10","","","","10.3389/fmicb.2019.00809","Microbiology"
49,"Sub12","not vetted","Mohebbi, S; Pamukcu, E; Bozdogan, H","A new data adaptive elastic net predictive model using hybridized smoothed covariance estimators with information complexity","JOURNAL OF STATISTICAL COMPUTATION AND SIMULATION","Article; Proceedings Paper",2019,"89","6","1060","1089","10.1080/00949655.2019.1576683","Computer Science, Interdisciplinary Applications; Statistics & Probability"
56,"Sub12","not vetted","D'Acunha, B; Morillas, L; Black, TA; Christen, A; Johnson, MS","Net Ecosystem Carbon Balance of a Peat Bog Undergoing Restoration: Integrating CO2 and CH4 Fluxes From Eddy Covariance and Aquatic Evasion With DOC Drainage Fluxes","JOURNAL OF GEOPHYSICAL RESEARCH-BIOGEOSCIENCES","Article",2019,"124","4","884","901","10.1029/2019JG005123","Environmental Sciences; Geosciences, Multidisciplinary"
125,"Sub12","not vetted","Turcicova, M; Mandel, J; Eben, K","Multilevel maximum likelihood estimation with application to covariance matrices","COMMUNICATIONS IN STATISTICS-THEORY AND METHODS","Article",2019,"48","4","909","925","10.1080/03610926.2017.1422755","Statistics & Probability"
155,"Sub12","not vetted","Liang, WJ; Xiang, DD; Pu, XL; Li, Y; Jin, LZ","A robust multivariate sign control chart for detecting shifts in covariance matrix under the elliptical directions distributions","QUALITY TECHNOLOGY AND QUANTITATIVE MANAGEMENT","Article",2019,"16","1","113","127","10.1080/16843703.2017.1372852","Engineering, Industrial; Operations Research & Management Science; Statistics & Probability"
189,"Sub12","not vetted","Widmoser, P; Wohlfahrt, G","Attributing the energy imbalance by concurrent lysimeter and eddy covariance evapotranspiration measurements","AGRICULTURAL AND FOREST METEOROLOGY","Article",2018,"263","","287","291","10.1016/j.agrformet.2018.09.003","Agronomy; Forestry; Meteorology & Atmospheric Sciences"
204,"Sub12","not vetted","Rebmann, C; Aubinet, M; Schmid, H; Arriga, N; Aurela, M; Burba, G; Clement, R; De Ligne, A; Fratini, G; Gielen, B; Grace, J; Graf, A; Gross, P; Haapanala, S; Herbst, M; Hortnagl, L; Ibrom, A; Joly, L; Kljun, N; Kolle, O; Kowalski, A; Lindroth, A; Loustau, D; Mammarella, I; Mauder, M; Merbold, L; Metzger, S; Molder, M; Montagnani, L; Papale, D; Pavelka, M; Peichl, M; Roland, M; Serrano-Ortiz, P; Siebicke, L; Steinbrecher, R; Tuovinen, JP; Vesala, T; Wohlfahrt, G; Franz, D","ICOS eddy covariance flux-station site setup: a review","INTERNATIONAL AGROPHYSICS","Review",2018,"32","4","471","+","10.1515/intag-2017-0044","Agronomy"
235,"Sub12","not vetted","King, NG; McKeown, NJ; Smale, DA; Moore, PJ","The importance of phenotypic plasticity and local adaptation in driving intraspecific variability in thermal niches of marine macrophytes","ECOGRAPHY","Review",2018,"41","9","1469","1484","10.1111/ecog.03186","Biodiversity Conservation; Ecology"
