"STUDY_ID","REVIEWERS","INCLUDE","authors","title","journal","type","year","volume","issue","page_start","page_end","doi","category"
30,"Sub17","not vetted","Matthews, TJ; Sadler, JP; Kubota, Y; Woodall, CW; Pugh, TAM","Systematic variation in North American tree species abundance distributions along macroecological climatic gradients","GLOBAL ECOLOGY AND BIOGEOGRAPHY","Article",2019,"28","5","601","611","10.1111/geb.12879","Ecology; Geography, Physical"
42,"Sub17","not vetted","Xu, L; Xiang, SJ; Yao, WX","Robust maximum L-9-likelihood estimation of joint mean-covariance models for longitudinal data","JOURNAL OF MULTIVARIATE ANALYSIS","Article",2019,"171","","397","411","10.1016/j.jmva.2019.01.001","Statistics & Probability"
123,"Sub17","not vetted","Veronese, M; Moro, L; Arcolin, M; Dipasquale, O; Rizzo, G; Expert, P; Khan, W; Fisher, PM; Svarer, C; Bertoldo, A; Howes, O; Turkheimer, FE","Covariance statistics and network analysis of brain PET imaging studies","SCIENTIFIC REPORTS","Article",2019,"9","","","","10.1038/s41598-019-39005-8","Multidisciplinary Sciences"
133,"Sub17","not vetted","Huang, YX; Fan, GH; Zhou, DW; Pang, JY","Phenotypic plasticity of four Chenopodiaceae species with contrasting saline-sodic tolerance in response to increased salinity-sodicity","ECOLOGY AND EVOLUTION","Article",2019,"9","4","1545","1553","10.1002/ece3.4515","Ecology; Evolutionary Biology"
138,"Sub17","not vetted","King, JG; Hadfield, JD","The evolution of phenotypic plasticity when environments fluctuate in time and space","EVOLUTION LETTERS","Article",2019,"3","1","15","27","10.1002/evl3.100","Evolutionary Biology"
146,"Sub17","not vetted","Giacomini, F; Castro-Ruiz, E; Brukner, C","Quantum mechanics and the covariance of physical laws in quantum reference frames","NATURE COMMUNICATIONS","Article",2019,"10","","","","10.1038/s41467-018-08155-0","Multidisciplinary Sciences"
147,"Sub17","not vetted","Eshonkulov, R; Poyda, A; Ingwersen, J; Wizemann, HD; Weber, TKD; Kremer, P; Hogy, P; Pulatov, A; Streck, T","Evaluating multi-year, multi-site data on the energy balance closure of eddy-covariance flux measurements at cropland sites in southwestern Germany","BIOGEOSCIENCES","Article",2019,"16","2","521","540","10.5194/bg-16-521-2019","Ecology; Geosciences, Multidisciplinary"
148,"Sub17","not vetted","Tuovinen, JP; Aurela, M; Hatakka, J; Rasanen, A; Virtanen, T; Mikola, J; Ivakhov, V; Kondratyev, V; Laurila, T","Interpreting eddy covariance data from heterogeneous Siberian tundra: land-cover-specific methane fluxes and spatial representativeness","BIOGEOSCIENCES","Article",2019,"16","2","255","274","10.5194/bg-16-255-2019","Ecology; Geosciences, Multidisciplinary"
157,"Sub17","not vetted","Bamba, H; Korbo, A; Sanou, H; Raebild, A; Kjaer, ED; Hansen, JK","Genetic differentiation in leaf phenology among natural populations of Adansonia digitata L. follows climatic clines","GLOBAL ECOLOGY AND CONSERVATION","Article",2019,"17","","","","10.1016/j.gecco.2019.e00544","Biodiversity Conservation; Ecology"
167,"Sub17","not vetted","Beyer, F; Masouleh, SK; Schaare, HL; Villringer, A; Witte, AV","A network of structural gray matter covariance is associated with a proxy of cortical myelin","EUROPEAN NEUROPSYCHOPHARMACOLOGY","Meeting Abstract",2019,"29","","S302","S302","10.1016/j.euroneuro.2018.11.471","Clinical Neurology; Neurosciences; Pharmacology & Pharmacy; Psychiatry"
