"STUDY_ID","REVIEWERS","INCLUDE","authors","title","journal","type","year","volume","issue","page_start","page_end","doi","category"
43,"Sub2","not vetted","Tsukuda, K; Matsuura, S","High-dimensional testing for proportional covariance matrices","JOURNAL OF MULTIVARIATE ANALYSIS","Article",2019,"171","","412","420","10.1016/j.jmva.2019.01.011","Statistics & Probability"
53,"Sub2","not vetted","Engle, RF; Ledoit, O; Wolf, M","Large Dynamic Covariance Matrices","JOURNAL OF BUSINESS & ECONOMIC STATISTICS","Article",2019,"37","2","363","375","10.1080/07350015.2017.1345683","Economics; Social Sciences, Mathematical Methods; Statistics & Probability"
65,"Sub2","not vetted","Blain, CO; Shears, NT","Seasonal and spatial variation in photosynthetic response of the kelp Ecklonia radiata across a turbidity gradient","PHOTOSYNTHESIS RESEARCH","Article",2019,"140","1","21","38","10.1007/s11120-019-00636-7","Plant Sciences"
71,"Sub2","not vetted","Bevilacqua, M; Faouzi, T; Furrer, R; Porcu, E","ESTIMATION AND PREDICTION USING GENERALIZED WENDLAND COVARIANCE FUNCTIONS UNDER FIXED DOMAIN ASYMPTOTICS","ANNALS OF STATISTICS","Article",2019,"47","2","828","856","10.1214/17-AOS1652","Statistics & Probability"
74,"Sub2","not vetted","Tchokponhoue, DA; N'Danikou, S; Houeto, JS; Achigan-Dako, EG","Shade and nutrient-mediated phenotypic plasticity in the miracle plant Synsepalum dulcificum (Schumach. & Thonn.) Daniell","SCIENTIFIC REPORTS","Article",2019,"9","","","","10.1038/s41598-019-41673-5","Multidisciplinary Sciences"
81,"Sub2","not vetted","Bonamour, S; Chevin, LM; Charmantier, A; Teplitsky, C","Phenotypic plasticity in response to climate change: the importance of cue variation","PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES","Article",2019,"374","1768","","","10.1098/rstb.2018.0178","Biology"
96,"Sub2","not vetted","Niu, XY; Hoff, PD","JOINT MEAN AND COVARIANCE MODELING OF MULTIPLE HEALTH OUTCOME MEASURES","ANNALS OF APPLIED STATISTICS","Article",2019,"13","1","321","339","10.1214/18-AOAS1187","Statistics & Probability"
120,"Sub2","not vetted","Boente, G; Rodriguez, D; Sued, M","The spatial sign covariance operator: Asymptotic results and applications","JOURNAL OF MULTIVARIATE ANALYSIS","Article",2019,"170","","115","128","10.1016/j.jmva.2018.10.002","Statistics & Probability"
144,"Sub2","not vetted","Peddinti, SR; Kambhammettu, BP","Dynamics of crop coefficients for citrus orchards of central India using water balance and eddy covariance flux partition techniques","AGRICULTURAL WATER MANAGEMENT","Article",2019,"212","","68","77","10.1016/j.agwat.2018.08.027","Agronomy; Water Resources"
192,"Sub2","not vetted","Ford, WP; Westgate, PM","A comparison of bias-corrected empirical covariance estimators with generalized estimating equations in small-sample longitudinal study settings","STATISTICS IN MEDICINE","Article",2018,"37","28","4318","4329","10.1002/sim.7917","Mathematical & Computational Biology; Public, Environmental & Occupational Health; Medical Informatics; Medicine, Research & Experimental; Statistics & Probability"
208,"Sub2","not vetted","Saylan, L; Ceyhan, ES; Bakanogullari, F; Caldag, B; Ozkoca, Y; Uysal, SK; Altinbas, N; Eitzinger, J","Analysis of Seasonal Carbon Dioxide Exchange of Winter Wheat Using Eddy Covariance Method in the Northwest Part of Turkey","ITALIAN JOURNAL OF AGROMETEOROLOGY-RIVISTA ITALIANA DI AGROMETEOROLOGIA","Article",2018,"23","3","39","52","10.19199/2018.3.2038-5625.039","Agronomy; Environmental Sciences; Meteorology & Atmospheric Sciences"
223,"Sub2","not vetted","De Corte, BJ; Della Valle, RR; Matell, MS","Recalibrating timing behahavior via expected covariance between temporal cues","ELIFE","Article",2018,"7","","","","10.7554/eLife.38790","Biology"
230,"Sub2","not vetted","Hildebrandt, JP; Wiesenthal, AA; Muller, C","Phenotypic Plasticity in Animals Exposed to Osmotic Stress - Is it Always Adaptive?","BIOESSAYS","Review",2018,"40","11","","","10.1002/bies.201800069","Biochemistry & Molecular Biology; Biology"
260,"Sub2","not vetted","Li, AM; Mu, JY; Huang, MX; Zhang, ZJ; Liu, JX; Zhang, M","Altered amygdala-related structural covariance and resting-state functional connectivity in end-stage renal disease patients","METABOLIC BRAIN DISEASE","Article",2018,"33","5","1471","1481","10.1007/s11011-018-0254-y","Endocrinology & Metabolism; Neurosciences"
265,"Sub2","not vetted","Maupetit, A; Larbat, R; Pernaci, M; Andrieux, A; Guinet, C; Boutigny, AL; Fabre, B; Frey, P; Halkett, F","Defense Compounds Rather Than Nutrient Availability Shape Aggressiveness Trait Variation Along a Leaf Maturity Gradient in a Biotrophic Plant Pathogen","FRONTIERS IN PLANT SCIENCE","Article",2018,"9","","","","10.3389/fpls.2018.01396","Plant Sciences"
267,"Sub2","not vetted","Karpati, FJ; Giacosa, C; Foster, NEV; Penhune, VB; Hyde, KL","Structural Covariance Analysis Reveals Differences Between Dancers and Untrained Controls","FRONTIERS IN HUMAN NEUROSCIENCE","Article",2018,"12","","","","10.3389/fnhum.2018.00373","Neurosciences; Psychology"
288,"Sub2","not vetted","Potocky, P; Bartonova, A; Benes, J; Zapletal, M; Konvicka, M","Life-history traits of Central European moths: gradients of variation and their association with rarity and threats","INSECT CONSERVATION AND DIVERSITY","Article",2018,"11","5","493","505","10.1111/icad.12291","Biodiversity Conservation; Entomology"
341,"Sub2","not vetted","Landsman, Z; Makov, U; Shushi, T","A multivariate tail covariance measure for elliptical distributions","INSURANCE MATHEMATICS & ECONOMICS","Article",2018,"81","","27","35","10.1016/j.insmatheco.2018.04.002","Economics; Mathematics, Interdisciplinary Applications; Social Sciences, Mathematical Methods; Statistics & Probability"
351,"Sub2","not vetted","McMahon, JD; Lashley, MA; Brooks, CP; Barton, BT","Covariance between predation risk and nutritional preferences confounds interpretations of giving-up density experiments","ECOLOGY","Article",2018,"99","7","1517","1522","10.1002/ecy.2365","Ecology"
362,"Sub2","not vetted","Li, X; Guo, TT; Mu, Q; Li, XR; Yu, JM","Genomic and environmental determinants and their interplay underlying phenotypic plasticity","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA","Article",2018,"115","26","6679","6684","10.1073/pnas.1718326115","Multidisciplinary Sciences"
374,"Sub2","not vetted","Moberget, T; Doan, NT; Alnaes, D; Kaufmann, T; Cordova-Palomera, A; Lagerberg, TV; Diedrichsen, J; Schwarz, E; Zink, M; Eisenacher, S; Kirsch, P; Jonsson, EG; Fatouros-Bergman, H; Flyckt, L; Pergola, G; Quarto, T; Bertolino, A; Barch, D; Meyer-Lindenberg, A; Agartz, I; Andreassen, OA; Westlye, LT","Cerebellar volume and cerebellocerebral structural covariance in schizophrenia: a multisite mega-analysis of 983 patients and 1349 healthy controls","MOLECULAR PSYCHIATRY","Article",2018,"23","6","1512","1520","10.1038/mp.2017.106","Biochemistry & Molecular Biology; Neurosciences; Psychiatry"
422,"Sub2","not vetted","Garavillon-Tournayre, M; Gousset-Dupont, A; Gautier, F; Benoit, P; Conchon, P; Souchal, R; Lopez, D; Petel, G; Venisse, JS; Bastien, C; Label, P; Fumanal, B","Integrated drought responses of black poplar: how important is phenotypic plasticity?","PHYSIOLOGIA PLANTARUM","Article",2018,"163","1","30","44","10.1111/ppl.12646","Plant Sciences"
442,"Sub2","not vetted","Zhang, LH; Zhang, YW; Zhao, JM; Sun, Q","RESPONSES TO NITROGEN AND PHOSPHATE OF PHENOTYPIC PLASTICITY OF SAGITTARIA GRAMINEA: AN EXOTIC SPECIES IN YALU RIVER, DANDONG, CHINA","PAKISTAN JOURNAL OF BOTANY","Article",2018,"50","2","505","509","","Plant Sciences"
443,"Sub2","not vetted","Bond-Lamberty, B","Data Sharing and Scientific Impact in Eddy Covariance Research","JOURNAL OF GEOPHYSICAL RESEARCH-BIOGEOSCIENCES","Editorial Material",2018,"123","4","1440","1443","10.1002/2018JG004502","Environmental Sciences; Geosciences, Multidisciplinary"
447,"Sub2","not vetted","Gilson, M","Analysis of fMRI data using noise-diffusion network models: a new covariance-coding perspective","BIOLOGICAL CYBERNETICS","Article; Proceedings Paper",2018,"112","2-Jan","153","161","10.1007/s00422-017-0741-y","Computer Science, Cybernetics; Neurosciences"
451,"Sub2","not vetted","Lefevre, T; Ohm, J; Dabire, KR; Cohuet, A; Choisy, M; Thomas, MB; Cator, L","Transmission traits of malaria parasites within the mosquito: Genetic variation, phenotypic plasticity, and consequences for control","EVOLUTIONARY APPLICATIONS","Article",2018,"11","4","456","469","10.1111/eva.12571","Evolutionary Biology"
455,"Sub2","not vetted","Segui, J; Lazaro, A; Traveset, A; Salgado-Luarte, C; Gianoli, E","Phenotypic and reproductive responses of an Andean violet to environmental variation across an elevational gradient","ALPINE BOTANY","Article",2018,"128","1","59","69","10.1007/s00035-017-0195-9","Plant Sciences"
521,"Sub2","not vetted","Quinn, JA; Wetherington, JD","Genetic variability and phenotypic plasticity in flowering phenology in populations of two grasses","JOURNAL OF THE TORREY BOTANICAL SOCIETY",NA,2002,"129","2","96","106","10.2307/3088723",NA
523,"Sub2","not vetted","Relyea, RA","Costs of phenotypic plasticity","AMERICAN NATURALIST",NA,2002,"159","3","272","282","10.1086/338540",NA
549,"Sub2","not vetted","Knight, CA; Ackerly, DD","Variation in nuclear DNA content across environmental gradients: a quantile regression analysis","ECOLOGY LETTERS",NA,2002,"5","1","66","76","10.1046/j.1461-0248.2002.00283.x",NA
556,"Sub2","not vetted","Jiang, GY; Sarkar, SK","Combination tests for the equality of the covariance matrices of two dependent bivariate normals","JOURNAL OF STATISTICAL COMPUTATION AND SIMULATION",NA,2002,"72","6","495","505","10.1080/00949650290007784",NA
569,"Sub2","not vetted","Sarkar, S","Evolutionary models of phenotypic plasticity and reaction norms: A history.","AMERICAN ZOOLOGIST",NA,2001,"41","6","1576","1576","",NA
605,"Sub2","not vetted","Bosveld, FC; Beljaars, ACM","The impact of sampling rate on eddy-covariance flux estimates","AGRICULTURAL AND FOREST METEOROLOGY",NA,2001,"109","1","39","45","10.1016/S0168-1923(01)00257-X",NA
608,"Sub2","not vetted","Rocke, DM; Woodruff, DL","Multivariate outlier detection and robust covariance matrix estimation - Discussion","TECHNOMETRICS",NA,2001,"43","3","300","303","",NA
629,"Sub2","not vetted","Raykov, T","A note on covariance structure analysis methods for testing invariance of reliability and stability in multi-wave, multi-indicator models","BRITISH JOURNAL OF MATHEMATICAL & STATISTICAL PSYCHOLOGY",NA,2001,"54","","95","101","10.1348/000711001159447",NA
651,"Sub2","not vetted","Sultan, SE","Phenotypic plasticity for fitness components in Polygonum species of contrasting ecological breadth","ECOLOGY",NA,2001,"82","2","328","343","10.1890/0012-9658(2001)082[0328:PPFFCI]2.0.CO;2",NA
663,"Sub2","not vetted","Karl, T; Guenther, A; Jordan, A; Fall, R; Lindinger, W","Eddy covariance measurement of biogenic oxygenated VOC emissions from hay harvesting","ATMOSPHERIC ENVIRONMENT",NA,2001,"35","3","491","495","10.1016/S1352-2310(00)00405-2",NA
